Invoice_Date,Invoice_No,Party_GSTIN,Party_Name,Place_of_Supply,HSN_Code,Description,Quantity,Unit,Taxable_Value,CGST_Rate,SGST_Rate,IGST_Rate,CGST_Amount,SGST_Amount,IGST_Amount,Invoice_Type
03-04-2024,INV-2024-001,27AABCP1234A1Z5,ABC Pvt Ltd,27,998314,Software Consulting Services,1,NOS,152542.37,9,9,0,13728.81,13728.81,0,B2B
06-04-2024,INV-2024-002,27AABCQ5678B1Z3,PQR Traders,27,9983,IT Support Services,1,NOS,80508.47,9,9,0,7245.76,7245.76,0,B2B
17-04-2024,INV-2024-003,29AABCL9012C1Z1,LMN Corp,29,996111,Business Process Outsourcing,1,NOS,211864.41,0,0,18,0,0,38135.59,B2B
23-04-2024,INV-2024-004,27AABCD3456D1Z7,DEF Ltd,27,998314,Software Development Services,1,NOS,271186.44,9,9,0,24406.78,24406.78,0,B2B
24-04-2024,INV-2024-005,27AABCG7890E1Z9,GHI Enterprises,27,9983,Cloud Infrastructure Services,1,NOS,148305.08,9,9,0,13347.46,13347.46,0,B2B
02-05-2024,INV-2024-006,24AABCJ2345F1Z2,JKL Industries,24,8471,Computer Hardware Supply,10,NOS,355932.20,0,0,18,0,0,64067.80,B2B
06-05-2024,INV-2024-007,27AABCS6789G1Z4,STU Corp,27,998314,Web Application Development,1,NOS,72033.90,9,9,0,6483.05,6483.05,0,B2B
11-05-2024,INV-2024-008,06AABCV0123H1Z6,VWX Ltd,06,998314,ERP Implementation Services,1,NOS,474576.27,0,0,18,0,0,85423.73,B2B
17-05-2024,INV-2024-009,27AABCY4567I1Z8,YZA Pvt Ltd,27,9983,Data Analytics Services,1,NOS,165254.24,9,9,0,14872.88,14872.88,0,B2B
21-05-2024,INV-2024-010,27AABCB8901J1Z0,BCD Traders,27,996111,Managed IT Services,1,NOS,262711.86,9,9,0,23644.07,23644.07,0,B2B
29-05-2024,INV-2024-011,32AABCH3456K1Z3,HIJ Corp,32,998314,Mobile App Development,1,NOS,406779.66,0,0,18,0,0,73220.34,B2B
03-06-2024,INV-2024-012,27AABCK7890L1Z5,KLM Ltd,27,9983,Network Security Services,1,NOS,330508.47,9,9,0,29745.76,29745.76,0,B2B
12-06-2024,INV-2024-013,27AABCN2345M1Z7,NOP Enterprises,27,998314,Digital Transformation Consulting,1,NOS,233050.85,9,9,0,20974.58,20974.58,0,B2B
20-06-2024,INV-2024-014,33AABCR6789N1Z9,QRS Trading,33,8517,Networking Equipment,5,NOS,122881.36,0,0,18,0,0,22118.64,B2B
05-07-2024,INV-2024-015,27AABCT1234O1Z2,TUV Corp,27,998314,Product Engineering Services,1,NOS,423728.81,9,9,0,38135.59,38135.59,0,B2B
25-07-2024,INV-2024-016,27AABCW5678P1Z4,WXY Ltd,27,9983,Cybersecurity Audit,1,NOS,186440.68,9,9,0,16779.66,16779.66,0,B2B
10-04-2024,INV-2024-017,,Walk-in Client - Software License,27,8523,Software License Key,1,NOS,10000.00,9,9,0,900.00,900.00,0,B2C
15-04-2024,INV-2024-018,,Retail Customer - USB Drives,27,8471,USB Flash Drives (10 units),10,NOS,5000.00,9,9,0,450.00,450.00,0,B2C
20-04-2024,INV-2024-019,,Online Customer - Antivirus,27,8523,Antivirus Software License,1,NOS,2500.00,9,9,0,225.00,225.00,0,B2C
05-05-2024,INV-2024-020,,Direct Sale - Training Material,27,4901,Training Booklets,50,NOS,7500.00,0,0,0,0,0,0,B2C
12-05-2024,INV-2024-021,,Consumer - Keyboard & Mouse,27,8471,Peripherals Set,3,NOS,8000.00,9,9,0,720.00,720.00,0,B2C
18-05-2024,INV-2024-022,,Individual - IT Consultation,27,998314,1-Hour Consultation,1,NOS,3000.00,9,9,0,270.00,270.00,0,B2C
08-06-2024,INV-2024-023,,Walk-in - Printer Cartridges,27,8443,Printer Cartridges,4,NOS,4800.00,12,12,0,576.00,576.00,0,B2C
14-06-2024,INV-2024-024,,Online Client - Domain Registration,27,998313,Domain + Hosting 1yr,1,NOS,6000.00,9,9,0,540.00,540.00,0,B2C
22-06-2024,INV-2024-025,27AABCA9876Q1Z1,Alpha Technologies,27,9983,API Integration Services,1,NOS,42372.88,9,9,0,3813.56,3813.56,0,B2B
28-06-2024,INV-2024-026,27AABCB5432R1Z3,Beta Solutions,27,998314,Database Optimization,1,NOS,63559.32,9,9,0,5720.34,5720.34,0,B2B
04-07-2024,INV-2024-027,19AABCC1098S1Z5,Gamma Corp,19,998314,DevOps Consulting,1,NOS,84745.76,0,0,18,0,0,15254.24,B2B
15-07-2024,INV-2024-028,27AABCD6754T1Z7,Delta Enterprises,27,8471,Server Hardware,2,NOS,169491.53,9,9,0,15254.24,15254.24,0,B2B
22-07-2024,INV-2024-029,27AABCE2310U1Z9,Epsilon Ltd,27,9983,QA Testing Services,1,NOS,101694.92,9,9,0,9152.54,9152.54,0,B2B
